age,bmi,gender_num,activity_num,fitness_num,stress_num,meal_type_num,calorie_gap,protein_gap,calorie_ratio,is_vegetarian,is_vegan,is_diabetic,is_gluten_free,meals_per_day,sleep_quality,meal_calories,meal_protein,meal_carbs,meal_fat,meal_fiber,within_meal_class_band,accepted,goal_lose_weight,goal_gain_muscle,goal_maintain,goal_improve_health,goal_athletic_performance
49,14.7,0,2,2,4,2,2244.2,71.8,0.236,0,0,1,0,3,1,694.6,37.6,127.3,3.9,7.5,1,1,0,0,0,1,0
37,14.5,1,2,3,2,2,1069.8,94.6,0.27,0,0,0,0,3,0,395.5,11.1,67.2,9.1,2.5,1,1,0,1,0,0,0
62,18.5,1,5,2,3,1,2059.3,-20.1,0.047,0,0,0,0,3,0,101.6,8.4,13.3,1.7,0.6,1,1,1,0,0,0,0
27,31.1,0,4,2,2,3,2965.6,75.6,0.052,0,0,0,0,2,0,162.8,10.3,27.7,1.2,1.5,1,1,0,1,0,0,0
70,37.4,0,2,2,3,4,2534.0,29.4,0.107,0,0,1,0,2,1,305.1,14.9,47.3,6.3,2.8,1,1,1,0,0,0,0
18,25.6,0,1,2,1,3,1697.1,66.3,0.05,1,0,1,0,2,1,88.8,1.4,15.1,2.5,0.2,1,0,0,0,1,0,0
56,31.3,0,5,2,1,4,2458.0,-8.6,0.167,1,0,0,0,3,0,494.3,42.7,67.4,6.0,5.0,1,1,1,0,0,0,0
48,17.5,0,2,1,3,2,2049.1,95.1,0.176,0,0,1,0,3,1,438.2,37.3,39.5,14.5,4.8,1,1,1,0,0,0,0
68,14.8,1,2,1,1,3,2866.9,-8.6,0.015,0,0,0,0,3,1,42.5,2.2,6.1,1.0,0.5,1,1,0,0,0,1,0
23,37.5,1,3,2,3,2,1772.3,72.1,0.246,0,0,0,0,2,1,577.9,10.2,106.2,12.5,1.6,1,1,0,0,1,0,0
67,32.3,1,4,1,1,4,1049.0,54.4,0.286,1,0,0,0,3,1,419.5,14.6,71.3,8.4,5.0,1,1,1,0,0,0,0
50,35.8,0,5,1,3,1,2538.5,-11.2,0.025,0,0,0,0,3,1,64.7,2.6,9.5,1.8,1.0,1,1,0,0,0,0,1
56,23.8,1,4,2,3,4,845.2,-22.0,0.36,0,0,1,0,3,1,476.4,33.3,52.1,15.0,2.2,1,1,0,1,0,0,0
18,23.3,0,3,3,1,3,2614.3,49.9,0.042,0,0,0,0,3,1,114.7,6.2,20.5,0.9,0.7,1,1,0,0,0,1,0
41,49.0,1,1,3,3,4,795.0,25.6,0.396,1,0,0,0,3,1,521.8,26.2,85.7,8.3,3.7,1,1,0,0,0,1,0
27,47.7,1,1,2,3,2,2092.5,77.9,0.217,0,0,0,0,3,0,580.7,23.3,89.0,14.6,0.9,1,1,0,0,0,1,0
33,51.8,1,2,2,3,4,2694.4,37.0,0.129,0,0,0,0,3,0,400.6,22.2,63.1,6.6,1.5,1,1,0,0,0,1,0
25,27.6,0,1,2,3,3,2145.0,67.8,0.049,0,0,0,0,3,0,109.5,8.2,12.3,3.1,1.1,1,1,0,1,0,0,0
43,40.5,0,2,2,1,2,1491.3,94.2,0.295,1,0,0,0,3,0,625.2,13.6,119.2,10.4,6.9,1,1,1,0,0,0,0
41,18.6,1,5,3,4,1,2740.6,-4.9,0.035,0,0,0,0,3,1,99.3,2.6,20.5,0.8,0.1,1,1,0,0,1,0,0
38,40.2,0,3,2,2,1,2288.6,51.0,0.063,0,0,0,0,4,0,154.8,11.1,19.4,3.6,1.2,1,1,0,0,0,1,0
22,21.5,1,2,2,3,3,2546.7,83.0,0.052,0,0,0,0,4,0,141.1,8.1,20.1,3.2,0.8,1,1,1,0,0,0,0
35,21.0,0,2,3,2,4,1837.8,-10.4,0.213,1,0,0,0,3,1,497.9,17.2,92.0,6.8,4.2,1,1,0,0,1,0,0
49,32.7,1,3,2,2,1,2948.2,7.8,0.027,0,0,0,0,3,1,80.7,4.3,11.0,2.2,0.5,1,1,0,0,0,0,1
65,28.0,0,4,1,1,4,1181.8,73.0,0.272,0,0,0,0,2,0,441.6,11.6,72.7,11.6,6.2,1,1,1,0,0,0,0
32,29.6,0,3,1,2,4,1226.4,6.5,0.192,1,0,0,0,3,0,292.2,8.6,58.1,2.8,2.8,1,1,1,0,0,0,0
69,29.0,1,5,2,3,4,1814.0,54.2,0.154,0,0,0,0,3,0,330.6,8.3,58.1,7.3,4.8,1,1,0,0,1,0,0
38,25.4,1,1,3,3,3,3030.9,70.4,0.051,1,1,1,0,4,1,163.9,13.1,24.3,1.6,0.7,1,1,0,0,1,0,0
37,32.1,1,3,2,3,2,1353.9,76.3,0.27,0,0,0,0,3,0,501.4,32.6,74.6,8.0,3.0,1,1,0,0,1,0,0
67,28.4,1,3,3,2,1,1808.1,-22.4,0.052,1,0,0,0,3,1,99.6,1.4,21.6,0.8,1.4,1,1,0,0,0,0,1
52,49.5,1,4,1,2,2,1683.9,8.1,0.265,1,0,0,0,2,1,606.8,33.9,102.3,6.9,0.6,1,1,0,0,0,0,1
54,50.9,0,2,2,1,3,1319.3,22.2,0.098,0,0,0,0,3,1,143.7,3.8,23.9,3.7,0.5,1,1,1,0,0,0,0
48,31.2,0,1,2,2,1,1356.5,85.8,0.058,1,0,0,0,3,0,83.2,5.5,13.4,0.9,0.2,1,1,0,0,1,0,0
51,37.7,1,4,1,3,2,1994.4,17.8,0.24,0,0,0,0,3,0,630.1,36.8,77.3,19.3,3.8,1,1,0,1,0,0,0
69,24.2,1,3,1,3,2,929.8,19.6,0.346,0,0,1,0,3,1,491.9,30.9,77.5,6.5,5.2,1,1,0,1,0,0,0
65,32.6,0,1,1,2,1,1244.0,12.4,0.177,1,0,0,0,3,1,268.0,14.7,40.3,5.3,3.1,1,1,1,0,0,0,0
56,22.8,1,2,1,3,1,2506.1,57.9,0.109,0,0,1,0,3,1,306.7,10.6,52.9,5.8,0.2,1,1,0,1,0,0,0
24,25.2,0,4,1,2,2,2156.7,98.2,0.232,1,0,1,0,2,0,651.0,22.3,104.8,15.9,6.1,1,1,0,0,0,1,0
49,35.5,0,2,2,1,3,1419.4,43.7,0.092,1,0,0,0,3,0,143.3,8.4,24.4,1.4,0.2,1,1,1,0,0,0,0
25,23.1,1,3,3,2,4,2245.9,12.5,0.143,1,0,0,0,2,0,374.4,25.7,43.7,10.8,5.3,1,1,0,0,1,0,0
27,20.3,0,5,1,3,1,2483.6,48.0,0.027,0,0,0,0,4,1,68.5,2.4,13.1,0.7,0.8,1,1,0,1,0,0,0
53,32.9,0,4,3,2,4,1358.2,61.5,0.199,0,0,0,0,4,1,338.0,19.1,55.2,4.6,4.0,1,1,1,0,0,0,0
41,20.5,1,1,2,3,3,1671.5,29.5,0.074,0,0,1,0,3,1,133.7,4.5,22.7,2.8,0.3,1,1,1,0,0,0,0
46,35.3,1,1,1,2,3,2236.8,-21.8,0.088,0,0,0,0,3,1,217.2,10.3,33.8,4.5,3.0,1,1,0,0,0,0,1
68,20.9,0,2,1,2,2,2575.8,16.6,0.171,0,0,0,0,3,1,531.3,16.0,95.2,9.6,7.4,1,1,1,0,0,0,0
63,21.5,1,1,2,2,3,2688.2,-22.0,0.025,0,0,0,0,3,1,69.8,3.0,13.2,0.5,0.7,1,1,0,0,1,0,0
21,28.6,0,3,3,3,2,1808.9,99.2,0.241,1,0,0,0,3,1,574.2,26.5,89.5,12.2,0.3,1,1,0,0,0,0,1
19,47.0,1,3,2,1,1,2518.6,38.2,0.043,0,0,0,0,3,0,112.2,1.6,21.5,2.2,1.5,1,1,0,1,0,0,0
60,28.9,1,3,1,3,3,2616.7,10.4,0.023,0,0,1,0,3,1,61.7,3.4,7.6,2.0,0.0,1,1,1,0,0,0,0
46,29.6,0,2,1,1,4,989.6,9.3,0.243,1,0,0,0,3,1,317.6,15.4,46.6,7.7,0.8,1,1,1,0,0,0,0
32,23.4,0,4,3,1,1,1826.7,17.1,0.13,0,0,0,0,2,1,273.2,3.5,56.7,3.6,1.1,1,1,0,0,0,1,0
59,22.7,0,1,3,1,3,1697.1,26.6,0.066,1,1,0,0,3,1,120.7,5.4,21.7,1.4,1.7,1,0,0,0,0,0,1
53,27.3,1,2,1,2,4,1902.6,45.2,0.172,0,0,0,0,2,1,395.3,33.5,56.2,4.0,1.2,1,1,0,1,0,0,0
65,31.0,0,4,2,1,2,1110.5,34.4,0.349,0,0,0,0,3,0,596.0,37.0,101.1,4.9,4.0,1,1,0,1,0,0,0
27,15.0,0,3,1,4,2,2619.6,9.9,0.131,0,0,0,0,4,0,394.6,11.6,74.4,5.6,2.5,1,1,0,0,1,0,0
28,28.3,1,2,1,4,1,2410.3,33.7,0.087,0,0,0,0,2,0,228.6,18.9,31.1,3.2,0.6,1,1,0,1,0,0,0
20,18.0,1,1,3,4,3,1670.0,63.5,0.028,1,0,0,0,4,0,48.8,1.2,10.1,0.4,0.6,1,1,1,0,0,0,0
39,41.2,0,4,2,3,3,2821.8,-25.9,0.042,0,0,0,0,3,0,125.2,5.5,19.5,2.8,1.2,1,1,0,0,1,0,0
29,23.2,1,1,2,3,2,2289.2,47.5,0.141,1,0,0,0,4,1,376.9,29.1,59.0,2.7,0.7,1,1,0,0,1,0,0
49,22.1,1,1,2,3,1,2751.2,90.8,0.037,0,0,1,0,4,1,106.0,2.5,17.6,2.9,0.4,1,1,0,0,0,0,1
39,49.3,1,2,1,3,2,1267.7,-26.5,0.251,1,0,0,0,3,1,424.9,23.6,58.7,10.6,0.1,1,1,0,1,0,0,0
53,23.2,0,1,1,3,2,1146.1,-2.9,0.261,1,0,0,0,3,1,405.0,24.9,70.2,2.8,5.3,1,1,0,0,1,0,0
57,52.9,1,2,3,2,2,842.6,-27.9,0.369,1,0,0,0,2,1,492.6,31.3,65.3,11.8,5.8,1,1,1,0,0,0,0
52,29.3,0,5,1,1,4,2710.7,7.7,0.129,1,1,0,0,3,1,401.1,14.4,78.0,3.5,5.2,1,1,0,0,1,0,0
45,46.1,1,5,2,1,4,2350.5,48.1,0.202,1,0,0,0,3,0,593.8,47.2,63.8,16.6,6.9,1,1,0,0,0,0,1
52,21.2,0,3,1,3,3,1967.8,-20.4,0.042,0,0,0,0,3,1,87.2,1.3,17.2,1.5,1.0,1,1,0,0,1,0,0
45,20.1,1,3,2,3,3,2301.1,11.5,0.055,0,0,1,0,3,1,134.1,3.5,27.2,1.2,0.8,1,1,0,1,0,0,0
24,18.0,0,3,2,2,2,1623.9,71.5,0.271,0,0,0,0,2,1,603.6,49.8,77.0,10.7,7.5,1,1,0,0,0,1,0
22,19.1,1,2,1,1,4,1192.2,89.0,0.295,1,0,0,0,2,1,498.4,8.2,89.4,12.0,5.4,1,1,0,0,0,1,0
57,37.8,0,1,1,2,2,1845.7,17.2,0.199,0,0,0,1,4,1,457.9,18.8,81.5,6.3,4.5,1,1,0,0,1,0,0
19,24.7,1,3,1,3,3,2917.5,88.8,0.03,0,0,0,0,3,1,90.8,4.1,15.6,1.3,0.6,1,1,0,1,0,0,0
39,12.0,0,3,2,2,1,1469.6,-28.8,0.051,0,0,1,0,3,1,78.3,1.1,15.7,1.2,0.2,1,1,0,0,1,0,0
42,24.4,0,1,1,2,4,1011.0,12.3,0.3,0,0,0,0,2,1,433.5,24.8,72.4,5.0,0.4,1,1,0,1,0,0,0
41,32.1,0,1,2,3,3,1370.3,95.2,0.105,1,0,0,0,2,0,161.3,4.4,30.4,2.4,1.9,1,0,0,1,0,0,0
41,29.1,0,3,1,1,1,1295.9,13.7,0.09,1,0,0,0,3,1,127.9,7.1,18.1,3.0,0.6,1,1,0,0,1,0,0
32,29.6,0,3,3,2,3,1516.9,45.2,0.038,1,0,0,0,3,1,59.3,1.5,11.8,0.7,0.7,1,1,0,0,1,0,0
53,15.0,0,3,1,2,1,2364.1,54.5,0.048,0,0,0,0,2,1,119.1,9.6,18.0,0.9,1.0,1,1,0,1,0,0,0
38,45.8,1,3,1,3,2,2445.9,46.4,0.215,0,0,0,0,3,0,668.0,51.3,91.5,10.7,2.5,1,1,0,0,0,0,1
28,25.2,1,5,2,3,4,2590.2,-20.3,0.098,0,0,0,0,3,1,282.0,8.2,55.7,2.9,2.2,1,1,0,0,1,0,0
66,18.2,1,3,2,2,1,1577.5,-22.9,0.116,1,0,0,0,3,1,206.4,15.4,24.9,5.0,0.9,1,1,1,0,0,0,0
16,29.7,1,3,3,3,3,2382.3,37.3,0.055,1,0,0,0,3,1,138.8,4.5,21.4,3.9,0.5,1,0,0,0,0,1,0
56,34.0,0,3,1,2,4,2417.2,73.7,0.172,0,0,0,0,3,1,503.1,13.2,98.5,6.2,7.1,1,1,0,0,1,0,0
52,54.3,0,1,3,1,2,1048.6,84.7,0.379,0,0,0,0,2,0,638.8,39.2,81.5,17.4,0.7,1,1,0,0,1,0,0
63,34.0,0,1,1,1,4,1259.0,-28.0,0.188,1,0,0,0,4,0,292.4,17.6,43.1,5.5,2.5,1,1,0,0,0,1,0
30,28.9,1,2,3,2,4,2287.4,-5.5,0.121,1,0,0,0,3,0,315.7,17.0,44.5,7.8,0.6,1,1,1,0,0,0,0
66,27.9,0,2,1,1,3,2804.6,68.3,0.039,0,0,0,1,4,1,113.9,5.0,15.3,3.6,0.6,1,1,0,0,0,0,1
45,37.7,1,1,1,2,3,1361.4,-9.5,0.07,1,0,0,1,3,0,102.7,8.0,11.4,2.8,1.2,1,1,1,0,0,0,0
21,25.0,0,1,2,2,4,1453.3,95.2,0.217,1,0,0,0,3,1,401.7,22.5,58.4,8.7,4.7,1,1,0,0,0,0,1
55,38.1,0,3,2,4,2,1125.5,-10.9,0.254,1,0,0,0,3,1,382.5,13.5,60.0,9.8,0.7,1,1,0,0,1,0,0
69,19.3,0,4,3,3,4,783.6,-5.8,0.414,1,1,0,0,4,0,552.9,42.5,59.6,16.0,4.7,1,1,1,0,0,0,0
52,13.0,1,5,2,4,2,2408.8,3.0,0.153,1,0,1,0,2,0,434.2,10.0,85.5,5.8,2.8,1,0,0,0,0,1,0
67,27.1,1,1,2,2,1,2373.0,33.6,0.03,1,0,0,0,2,1,74.0,6.4,9.0,1.4,0.1,1,0,0,1,0,0,0
33,43.0,0,1,2,1,4,1512.5,69.9,0.241,0,0,0,0,3,1,480.9,36.9,74.5,3.9,6.0,1,1,0,1,0,0,0
32,28.4,1,5,1,4,2,2589.8,20.1,0.188,1,0,0,0,3,1,600.9,17.8,97.4,15.5,8.0,1,1,0,0,0,0,1
47,30.5,0,5,1,4,1,2760.4,2.9,0.079,1,0,0,0,3,1,237.6,11.9,33.3,6.3,3.1,1,1,1,0,0,0,0
65,29.8,0,2,2,4,1,2704.2,34.7,0.024,0,0,0,0,3,1,66.1,1.0,13.0,1.1,0.7,1,1,0,0,0,1,0
33,17.1,1,1,3,2,3,2678.6,62.1,0.05,0,0,0,0,2,0,139.7,4.6,24.3,2.7,2.1,1,1,1,0,0,0,0
35,29.6,1,2,2,1,1,2302.7,91.4,0.117,1,0,0,0,2,1,305.7,4.7,63.7,3.6,2.2,1,1,1,0,0,0,0
36,28.1,1,3,1,2,2,1140.5,62.7,0.305,0,0,0,0,2,1,500.6,33.9,74.5,7.5,0.6,1,1,0,0,1,0,0
21,20.2,0,4,3,4,4,2066.0,25.7,0.216,1,0,0,0,3,1,568.8,38.4,76.0,12.3,7.0,1,1,0,1,0,0,0
23,36.3,0,2,1,4,2,1793.8,73.7,0.235,0,0,0,0,3,1,551.1,36.5,66.4,15.5,7.7,1,1,0,1,0,0,0
37,40.3,1,1,2,4,1,2061.9,-20.2,0.092,0,0,0,0,3,0,209.5,6.2,31.3,6.6,2.0,1,1,0,0,0,0,1
38,43.4,0,1,1,1,1,2751.0,12.9,0.088,0,0,0,0,3,1,265.8,3.9,44.0,8.3,2.3,1,1,0,0,0,0,1
25,32.3,0,2,1,4,4,2214.1,65.9,0.132,0,0,0,0,4,0,335.9,9.5,67.0,3.3,5.0,1,1,0,0,0,1,0
33,28.7,1,3,3,3,4,1600.2,13.8,0.228,0,0,1,0,3,1,473.8,40.1,62.0,7.3,3.1,1,1,0,0,0,1,0
65,39.9,1,2,1,3,3,1936.7,-3.5,0.088,0,0,1,0,3,0,187.2,6.5,30.9,4.1,1.4,1,1,0,0,0,1,0
61,22.5,1,3,1,1,1,1416.2,61.7,0.08,1,0,0,0,3,1,123.7,6.5,17.6,3.0,0.2,1,0,0,1,0,0,0
30,33.2,0,1,1,2,1,2612.4,14.4,0.056,1,0,0,0,2,1,155.8,2.1,26.5,4.6,0.9,1,1,1,0,0,0,0
50,36.2,1,2,2,2,3,1359.0,77.4,0.079,1,0,0,1,4,0,116.8,1.5,24.1,1.6,0.8,1,1,0,0,1,0,0
16,31.5,0,5,3,2,1,2663.7,76.4,0.112,1,0,0,0,3,1,336.1,12.7,47.2,10.7,2.5,1,1,1,0,0,0,0
43,20.3,0,3,2,3,3,1711.1,37.1,0.058,0,0,0,0,3,0,105.2,7.5,13.8,2.2,1.0,1,1,0,1,0,0,0
60,21.5,0,1,1,2,1,2608.6,88.3,0.107,0,0,0,0,3,0,312.4,17.5,46.6,6.2,4.4,1,1,1,0,0,0,0
62,37.5,1,5,1,2,3,1779.3,99.8,0.062,0,0,0,0,2,1,116.8,4.6,20.1,2.0,1.4,1,1,1,0,0,0,0
42,36.8,1,4,3,2,1,2253.8,88.7,0.102,1,1,0,0,4,1,256.0,7.5,46.2,4.6,0.1,1,0,0,1,0,0,0
17,41.0,1,4,2,2,2,1776.9,66.2,0.257,0,0,0,0,4,1,613.7,11.5,117.1,11.0,0.1,1,1,0,0,0,1,0
68,35.2,0,3,1,3,4,1757.4,49.7,0.175,0,0,0,0,3,1,373.8,9.1,68.2,7.2,1.9,1,1,0,0,1,0,0
38,31.0,0,1,2,1,2,2220.2,41.3,0.201,1,0,0,0,3,0,560.1,25.0,106.7,3.7,5.3,1,1,0,1,0,0,0
46,23.9,0,3,1,2,3,1292.9,27.8,0.064,0,0,0,0,3,1,87.8,6.5,9.5,2.7,0.9,1,1,0,0,1,0,0
30,37.3,1,2,2,1,2,880.9,4.8,0.418,1,0,0,0,4,1,631.7,28.3,105.3,10.8,7.2,1,1,0,0,1,0,0
16,20.9,1,5,3,1,3,2937.5,65.5,0.052,0,0,0,0,3,1,162.0,11.4,24.0,2.3,0.9,1,1,0,0,1,0,0
46,45.4,1,2,1,1,3,3057.4,-14.2,0.014,1,0,0,0,3,1,43.0,1.4,8.5,0.4,0.0,1,1,0,0,0,0,1
23,36.7,1,3,1,2,2,1099.2,57.0,0.304,1,0,1,0,3,1,479.9,16.7,82.8,9.1,3.8,1,1,0,0,0,0,1
18,21.7,0,2,2,2,2,958.2,27.6,0.338,0,0,0,0,3,1,488.6,6.8,88.8,11.8,1.5,1,1,1,0,0,0,0
42,32.6,0,4,1,3,4,2381.7,-15.1,0.125,1,0,1,0,2,1,341.3,21.5,56.0,3.5,1.5,1,1,1,0,0,0,0
55,32.8,1,1,3,2,2,2240.4,40.5,0.172,1,0,0,0,2,0,465.4,8.0,81.9,11.7,4.6,1,1,0,1,0,0,0
28,17.0,1,2,1,4,2,2012.6,85.1,0.181,1,0,0,0,3,0,443.6,29.3,56.5,11.1,3.8,1,1,1,0,0,0,0
43,22.5,1,1,1,2,3,2702.0,-3.6,0.04,1,0,0,0,4,1,113.6,9.0,17.1,1.0,1.5,1,1,0,0,0,1,0
67,28.7,0,4,2,3,1,2398.0,26.9,0.042,1,1,0,0,3,0,105.8,1.4,23.3,0.8,1.1,1,0,0,0,0,1,0
49,20.4,0,1,1,2,2,1547.8,6.4,0.219,1,0,0,0,4,1,433.7,20.3,55.9,14.3,4.4,1,1,0,0,1,0,0
67,23.6,1,1,3,3,2,1659.8,-17.1,0.196,1,1,1,0,3,0,404.5,23.6,53.3,10.8,0.4,1,1,0,1,0,0,0
49,30.7,0,3,1,1,4,2001.0,20.5,0.134,1,0,0,0,3,0,308.4,12.4,59.2,2.4,4.5,1,1,0,1,0,0,0
17,14.1,1,4,1,1,2,1528.0,75.8,0.214,0,0,0,0,2,1,416.0,19.3,58.1,11.8,5.3,1,1,0,0,0,1,0
55,28.0,1,2,2,1,2,1293.9,50.9,0.216,0,0,0,0,3,1,357.1,7.4,59.7,9.9,3.7,1,1,0,0,0,1,0
66,42.5,0,4,2,2,3,1506.0,63.3,0.041,0,0,0,0,4,1,63.7,5.1,9.4,0.6,0.6,1,1,0,0,0,0,1
32,14.0,0,1,2,3,4,2020.5,52.6,0.198,0,0,0,0,3,0,497.5,31.6,78.8,6.3,2.4,1,1,0,0,1,0,0
59,18.0,1,4,3,3,4,1742.9,4.7,0.143,1,0,1,0,3,1,290.3,7.6,46.4,8.3,2.1,1,1,0,1,0,0,0
26,28.3,0,3,2,3,3,1122.0,66.9,0.143,1,1,0,0,3,1,187.6,15.0,18.4,6.0,1.7,1,1,1,0,0,0,0
51,53.2,1,1,1,2,1,1736.2,14.4,0.038,0,0,0,0,2,1,68.4,1.1,12.3,1.6,0.6,1,1,1,0,0,0,0
66,35.4,1,2,2,2,1,2607.1,97.4,0.032,0,0,0,0,3,1,85.8,4.8,13.1,1.6,0.7,1,1,1,0,0,0,0
16,29.9,0,5,2,2,4,819.2,26.5,0.402,1,0,0,0,2,0,551.8,37.5,89.4,4.9,0.1,1,1,0,1,0,0,0
49,27.5,0,1,2,1,4,2639.9,25.1,0.106,1,1,0,0,3,0,312.4,6.3,52.1,8.8,0.1,1,1,0,0,0,0,1
24,23.4,1,2,2,3,1,1644.1,61.2,0.168,0,0,0,0,2,1,332.6,17.5,51.2,6.4,0.6,1,1,0,0,1,0,0
33,17.3,1,2,1,2,2,2097.1,-16.6,0.157,1,0,0,0,3,1,390.7,30.3,41.6,11.5,1.2,1,1,0,0,1,0,0
54,29.9,0,4,2,3,1,2621.5,47.0,0.052,0,0,1,0,2,0,142.6,12.1,19.4,1.9,1.0,1,1,0,1,0,0,0
27,35.9,1,4,2,2,4,1084.5,60.3,0.23,1,0,0,0,2,0,323.4,12.1,52.6,7.2,4.7,1,1,0,1,0,0,0
49,16.8,1,3,1,3,3,1626.1,39.5,0.091,0,0,0,0,2,0,163.2,12.2,25.4,1.4,1.0,1,1,0,1,0,0,0
55,25.2,1,3,2,2,1,1793.1,9.4,0.139,0,0,0,0,3,1,290.0,9.3,54.1,4.0,1.0,1,1,0,0,0,1,0
17,45.9,0,4,2,3,3,1710.6,6.9,0.086,0,0,0,0,3,0,160.3,11.5,20.2,3.8,0.1,1,1,0,0,0,1,0
22,33.9,1,3,2,4,2,2266.0,-25.6,0.225,1,0,0,0,3,1,656.3,25.3,109.6,13.0,2.3,1,1,0,0,0,1,0
61,25.9,0,5,2,2,2,1792.6,42.6,0.166,1,0,0,0,3,1,357.1,26.6,36.1,11.8,2.5,1,1,0,0,1,0,0
68,16.9,1,3,2,3,3,2316.5,14.1,0.086,0,0,0,0,2,1,217.8,3.4,37.0,6.2,1.9,1,1,0,0,1,0,0
24,46.7,0,3,1,3,1,2753.4,-17.8,0.069,0,0,0,0,3,0,205.5,3.4,40.8,3.2,0.4,1,1,0,0,1,0,0
43,19.8,1,2,1,1,1,2726.3,86.2,0.113,1,1,0,0,3,1,347.8,27.7,52.3,3.1,4.7,1,1,0,1,0,0,0
19,22.4,0,1,1,3,3,2481.1,50.4,0.063,1,0,0,1,3,0,166.3,4.0,25.6,5.4,2.3,1,1,1,0,0,0,0
60,30.9,0,1,1,1,1,2075.5,78.7,0.056,0,0,0,0,3,0,123.6,5.9,22.7,1.0,1.4,1,1,0,1,0,0,0
66,26.7,0,2,3,4,4,2123.5,98.0,0.199,1,0,0,0,3,0,528.9,28.4,86.4,7.7,1.3,1,1,1,0,0,0,0
47,34.8,0,3,1,2,3,1820.3,65.6,0.032,1,0,0,0,3,0,60.5,4.5,7.6,1.3,0.8,1,1,0,0,0,1,0
24,25.1,1,3,3,1,1,1858.1,20.3,0.033,1,0,0,0,2,0,63.2,3.7,10.6,0.6,0.5,1,0,0,1,0,0,0
46,30.0,0,3,1,2,4,2763.4,41.8,0.13,1,0,0,0,2,1,413.1,6.6,74.1,10.0,1.8,1,1,0,0,0,0,1
59,40.2,1,2,3,2,2,1231.8,-24.4,0.281,1,0,0,0,3,0,480.7,21.0,76.1,10.2,3.2,1,1,1,0,0,0,0
16,30.4,1,2,1,3,3,1745.0,15.3,0.045,0,0,0,0,3,1,82.3,6.5,8.0,2.7,1.0,1,1,0,0,0,1,0
56,23.6,0,3,3,2,3,2872.7,-25.3,0.022,0,0,0,0,4,0,66.0,4.1,11.6,0.4,0.0,1,1,0,1,0,0,0
70,15.6,1,3,3,2,1,2659.4,-7.4,0.116,0,0,0,0,3,0,348.1,24.3,50.5,5.4,4.0,1,1,0,0,0,1,0
54,33.5,1,2,3,1,4,1158.4,9.8,0.339,0,0,0,0,3,1,592.9,28.7,84.0,15.8,6.4,1,1,0,0,0,1,0
67,14.3,0,4,2,2,3,1909.7,45.3,0.049,0,0,1,0,3,1,98.0,5.1,12.7,3.0,0.4,1,1,0,0,0,1,0
29,31.3,1,2,1,4,3,2851.2,79.0,0.027,0,0,0,0,4,1,78.3,1.4,14.7,1.5,0.0,1,0,0,1,0,0,0
60,23.3,1,4,2,1,2,1547.2,-7.8,0.309,1,0,0,0,4,1,690.8,13.4,116.5,19.0,3.3,1,1,0,1,0,0,0
67,19.5,0,4,2,3,2,1642.8,42.6,0.214,1,0,0,0,3,1,448.0,27.8,74.1,4.5,3.3,1,1,0,0,1,0,0
16,17.7,1,1,2,2,4,2468.9,82.7,0.189,1,0,0,0,4,0,577.0,24.5,81.1,17.2,1.1,1,1,1,0,0,0,0
67,20.7,0,3,1,3,3,2962.8,54.5,0.066,1,1,0,0,3,1,209.5,10.5,26.9,6.7,3.0,1,1,0,0,0,1,0
45,22.9,0,1,2,3,4,1390.1,12.2,0.288,1,0,1,0,4,1,562.4,21.9,92.7,11.5,0.2,1,1,0,1,0,0,0
25,19.3,0,2,3,2,2,1418.7,60.4,0.281,1,0,1,0,4,1,555.2,37.9,63.7,16.5,3.7,1,1,1,0,0,0,0
31,24.9,0,2,2,1,4,1573.6,49.4,0.24,1,1,1,0,3,1,495.6,14.4,84.4,11.2,4.2,1,0,0,0,1,0,0
36,14.0,1,4,3,2,1,1442.5,-11.6,0.097,1,1,0,0,3,0,154.9,2.3,29.9,2.9,0.6,1,1,0,1,0,0,0
35,26.5,0,3,1,2,1,2846.9,29.6,0.031,1,0,1,0,2,0,92.4,2.4,18.0,1.2,0.2,1,0,1,0,0,0,0
25,16.0,1,2,2,3,2,1296.6,5.5,0.281,0,0,0,0,3,0,506.9,41.2,74.2,5.0,6.1,1,1,1,0,0,0,0
17,54.2,0,2,2,1,1,1120.0,28.2,0.224,0,0,1,0,3,1,323.4,24.6,35.3,9.3,4.0,1,1,0,0,1,0,0
52,21.2,0,3,1,2,3,1963.8,-17.9,0.085,1,0,0,0,2,0,183.0,11.8,23.2,4.8,0.6,1,1,1,0,0,0,0
22,23.9,1,3,1,2,3,2724.1,-0.3,0.046,1,0,0,0,4,1,130.9,9.5,15.6,3.4,0.9,1,1,0,0,1,0,0
33,30.2,1,3,3,1,1,1210.0,15.7,0.107,0,0,0,0,3,1,144.3,6.0,27.9,1.0,0.5,1,1,1,0,0,0,0
61,34.9,1,5,3,1,4,2536.0,-18.0,0.173,0,0,0,0,3,1,530.6,20.5,82.4,13.2,3.6,1,1,0,0,0,1,0
70,22.8,1,3,2,3,2,1224.9,83.6,0.236,1,0,0,0,4,1,379.0,8.0,79.7,3.1,4.2,1,1,1,0,0,0,0
41,14.5,1,5,1,1,2,1377.3,48.1,0.279,0,0,0,0,4,1,532.3,20.8,94.7,7.8,0.6,1,1,0,0,0,1,0
